entitas	chapter_id	verse_id
Pembalasan	1	4
Yang Maha Mengetahui lagi Maha Bijaksana	2	32
Kerajaan Sulaiman	2	102
Yang Maha Perkasa lagi Maha Bijaksana	2	129
tentara Talut	2	251
tentara Jalut	2	251
Yang Maha Hidup lagi terus-menerus mengurus (makhluk-Nya)	2	255
yang Maha Tinggi lagi Maha Agung	2	255
Yang Maha Hidup lagi Maha Mengurus	3	2
Al-Furq\u0101n	3	4
Yang Maha Perkasa lagi Maha Bijaksana	3	6
Yang Maha Perkasa lagi Maha Bijaksana	3	18
istri Imran	3	35
Yang Maha Perkasa lagi Maha Bijaksana	3	126
Yang Maha Perkasa lagi Maha Bijaksana	5	118
Yang Maha Kuasa	6	65
Yang Maha Bijaksana lagi Maha Teliti	6	73
Yang Maha Perkasa lagi Maha Mengetahui	6	96
Yang Maha Halus lagi Maha Teliti	6	103
(Allah	6	130
kaum Nuh	7	69
kaum Fir\u2018aun	7	109
kaum Fir\u2018aun	7	127
kaum Musa	7	129
kaum Fir\u2018aun	7	132
Kaum Musa	7	148
kaum Musa	7	159
Madinah	8	26
Jahanamlah	8	36
Nabi	8	41
al-furq\u0101n	8	41
kota Madinah	8	42
kota Madinah	8	42
perang Badar	8	71
Muhajirin	8	72
orang Muhajirin	8	74
hari haji akbar	9	3
Hudaibiah	9	7
Allahlah	9	13
Allahlah	9	22
Hunain	9	25
hari akhir	9	29
Uzair	9	30
Al-Masih	9	30
Al-Masih putra Maryam	9	31
Rasulullah	9	61
neraka Jahanamlah	9	63
kaum Nuh	9	70
kaum Ibrahim	9	70
kaum Lut	9	70
Rasulullah	9	81
Orang-orang Arab Badui	9	90
Yang Maha Mengetahui segala yang gaib dan yang nyata	9	94
Orang-orang Arab Badui	9	97
Arab Badui	9	98
Arab Badui	9	99
hari kemudian	9	99
Muhajirin	9	100
Ansar	9	100
Madinah	9	101
Muhajirin	9	117
Ansar	9	117
Madinah	9	120
Arab Badui	9	120
Rasulullah	9	120
Rasulullah	9	120
Dārussalām	10	25
Yang Maha Bijaksana lagi Maha Teliti	11	1
Kitab Musa	11	17
Rasulullah	11	17
hari akhir	11	19
gunung Judiy	11	44
kaum \u2018Ad	11	53
kaum Samud	11	62
Yang Maha Kuat lagi Maha Perkasa	11	66
kaum Lut	11	70
kaum Lut	11	74
kaum Lut	11	82
Madyan	11	84
kaum Nuh	11	89
kaum Hud	11	89
kaum Saleh	11	89
kaum Lut	11	89
Madyan	11	95
keluarga Ya\u2018qub	12	6
Orang Mesir	12	21
al-Aziz	12	30
al-Aziz	12	31
al-Aziz	12	32
yang Maha Mendengar lagi Maha Mengetahui	12	34
Yang Maha Esa lagi Maha Perkasa	12	39
al-Aziz	12	51
al-Aziz	12	52
Saudara-saudara Yusuf	12	58
Bunyamin	12	59
Bunyamin	12	64
Bunyamin	12	69
Bunyamin	12	70
saudara-saudara Yusuf	12	73
saudara-saudara Yusuf	12	75
Bunyamin	12	76
Bunyamin	12	77
al-Aziz	12	78
Bunyamin	12	78
Bunyamin	12	81
Yang Maha Mengetahui lagi Maha Bijaksana	12	83
Palestina	12	94
keluarga Yusuf	12	95
anak-anak Ya\u2018qub	12	97
negeri Mesir	12	99
Yang Maha Mengetahui lagi Maha Bijaksana	12	100
\u2018Arasy	13	2
Yang Maha Besar lagi Maha Tinggi	13	9
Yang Maha Esa lagi Maha Perkasa	13	16
Tuhan Yang Maha Pengasih	13	30
kafir Makkah	13	42
Yang Maha Perkasa lagi Maha Terpuji	14	1
Yang Maha Perkasa lagi Maha Bijaksana	14	4
kaum Nuh	14	9
Allahlah	14	32
Padang Mahsyar	14	48
Yang Maha Esa lagi Maha Perkasa	14	48
pengikut Lut	15	59
pengikut Lut	15	61
penduduk Aikah	15	78
Hijr	15	80
Yang Maha Pencipta lagi Maha Mengetahui	15	86
Yang Maha Tinggi	16	60
Maha Perkasa lagi Maha Bijaksana	16	60
Masjidilaqsa	17	1
Yang Maha Teliti lagi Maha Melihat	17	17
kaum Samud	17	59
Jahanamlah	17	63
Subuh	17	78
Subuh	17	78
<HolyBook>Al-Qur’an<	17	88
\u2018Allah\u2019	17	110
\u2018Ar-Ra\u1e25m\u0101n\u2019	17	110
Yang Maha Benar	18	44
Zulqarnain	18	83
Zulqarnain	18	86
Zulqarnain	18	87
Zulqarnain	18	91
Zulqarnain	18	94
Ya\u2019juj	18	94
Ma\u2019juj	18	94
Zulqarnain	18	95
Zulqarnain	18	96
Ya\u2019juj	18	97
Ma\u2019juj	18	97
Zulqarnain	18	98
Ya\u2019juj	18	99
Ma\u2019juj	18	99
surga Firdaus	18	107
keluarga Ya\u2018qub	19	6
(Allah	19	12
Tuhan Yang Maha Pengasih	19	18
Tuhan Yang Maha Pengasih	19	26
Tuhan Yang Maha Pemurah	19	44
Yang Maha Pemurah	19	45
Gunung	19	52
Tur	19	52
Idris	19	56
keturunan Adam	19	58
keturunan Ibrahim	19	58
Yang Maha Pengasih	19	58
surga \u2018Adn	19	61
Yang Maha Pengasih	19	61
Yang Maha Pengasih	19	69
Tuhan Yang Maha Pengasih	19	75
Tuhan Yang Maha Pengasih	19	78
Yang Maha Pengasih	19	85
Yang Maha Pengasih	19	87
Yang Maha Pengasih	19	88
Yang Maha Pengasih	19	91
Yang Maha Pengasih	19	92
Yang Maha Pengasih	19	93
Yang Maha Pengasih	19	96
\u1e6c\u0101 H\u0101	20	1
Yang Maha Pengasih	20	5
Tuwa	20	12
Nil	20	39
keluarga Fir\u2018aun	20	40
Nabi Musa	20	52
hari raya	20	59
gunung Sinai	20	80
gunung Sinai	20	83
Samiri	20	85
Samiri	20	87
Samiri	20	88
Yang Maha Pengasih	20	90
Samiri	20	95
Samiri	20	96
Samiri	20	97
Israfil	20	108
Tuhan Yang Maha Pengasih	20	108
Yang Maha Pengasih	20	109
Yang Maha Hidup lagi Maha Mengurus	20	111
Iblis	20	116
(Allah	21	23
Tuhan Yang Maha Pengasih	21	26
Yang Maha Pengasih	21	36
Yang Maha Pengasih	21	42
Kitab Taurat	21	48
Nabi Ibrahim	21	57
Syam	21	71
Sodom	21	74
Tuhan Yang Maha Penyayang	21	83
Idris	21	85
Zulkifli	21	85
Zun Nun	21	87
Ya\u2019juj	21	96
Ma\u2019juj	21	96
Tuhan Yang Maha Pengasih	21	112
kebangkitan	22	5
Majusi	22	17
al-\u2018At\u012bq	22	33
Na\u2018im	22	56
Yang Maha Benar	22	62
Yang Maha Tinggi lagi Maha Besar	22	62
hari kebangkitan	22	66
Firdaus	23	11
Bukit Sinai	23	20
kaum Nuh	23	30
kaum \u2018Ad	23	31
Subuh	24	58
Isya	24	58
Furqan	25	1
Yang Maha Pengasih	25	26
kaum Nuh	25	37
kaum \u2018Ad	25	38
penduduk Rass	25	38
Sodom	25	40
Yang Maha Hidup	25	58
Maha Mengetahui	25	58
Yang Maha Pengasih	25	59
Yang Maha Pengasih	25	60
Yang Maha Pengasih	25	60
Yang Maha Pengasih	25	63
penduduk Makkah	26	3
Tuhan Yang Maha Pengasih	26	5
kaum Fir\u2018aun	26	11
pengikut Musa	26	61
hari Pembalasan	26	82
(Ibrahim	26	83
Kaum Nuh	26	105
kaum \u2018Ad	26	123
(Kaum) Samud	26	141
Kaum Lut	26	160
(Lut	26	169
Penduduk Aikah	26	176
Madyan	26	176
Syu\u2018aib	26	177
Syu\u2018aib	26	188
Syu\u2018aib	26	189
Ruhulamin	26	193
Yang Maha Perkasa lagi Maha Penyayang	26	217
Yang Maha Perkasa lagi Maha Bijaksana	27	9
Hudhud	27	20
Hudhud	27	22
negeri Saba\u201	27	22
negeri	27	23
burung Hudhud	27	24
Balqis	27	29
Balqis	27	32
Balqis	27	34
Saba\u201	27	37
Balqis	27	41
Balqis	27	42
Balqis	27	42
Balqis	27	43
Balqis	27	44
Balqis	27	44
Balqis	27	44
hari Kebangkitan	27	68
Yang Maha Perkasa lagi Maha Mengetahui	27	78
Fir\u2018aun	28	3
Fir\u2018aun	28	4
Fir\u2018aun	28	4
Fir\u2018aun	28	6
Haman	28	6
Nil	28	7
keluarga Fir\u2018aun	28	8
Fir\u2018aun	28	8
Haman	28	8
Istri Fir\u2018aun	28	9
pengikut Fir\u2018aun	28	11
kaum Fir\u2018aun	28	15
negeri Madyan	28	22
negeri Madyan	28	23
Fir\u2018aun	28	32
Fir\u2018aun	28	36
Fir\u2018aun	28	38
Haman	28	38
Tuhannya Musa	28	38
Fir\u2018aun	28	39
Fir\u2018aun	28	40
Fir\u2018aun	28	41
Tuwa	28	44
Qarun	28	76
kaum Musa	28	76
Qarun	28	78
Qarun	28	79
Qarun	28	79
Qarun	28	81
Qarun	28	82
Yang Maha Perkasa lagi Maha Bijaksana	29	26
hari akhir	29	36
Qarun	29	39
Haman	29	39
Yang Maha Perkasa lagi Maha Bijaksana	29	42
Bangsa Romawi	30	2
bangsa Romawi	30	4
Akhirat	30	16
Yang Maha Perkasa lagi Maha Bijaksana	30	27
Allahlah	30	40
Allahlah	30	48
hari Kebangkitan	30	56
hari Kebangkitan	30	56
Luqman	31	12
Luqman	31	13
Luqman	31	16
Yang Maha Kaya lagi Maha Terpuji	31	26
Yang Maha Tinggi lagi Maha Besar	31	30
\u2018Arasy	32	4
Yang Maha Perkasa lagi Maha Penyayang	32	6
Muhajirin	33	6
penduduk Yasrib (Madinah)	33	13
Yasrib	33	14
Arab Badui	33	20
Rasulullah	33	21
Bani Quraizah	33	26
Zaid	33	37
Zainab	33	37
Rasulullah	33	53
Madinah	33	60
Madinah	33	60
Sa\u2018ir	33	64
Yang Maha Bijaksana lagi Maha Teliti	34	1
Yang Maha Penyayang lagi Maha Pengampun	34	2
Hari Kiamat	34	3
Yang Maha Perkasa lagi Maha Terpuji	34	6
Sa\u2018ir	34	12
keluarga Daud	34	13
Saba\u201	34	15
Tuhan Yang Maha Pengampun	34	15
Syam	34	18
Yang Maha Tinggi lagi Maha Besar	34	23
Yang Maha Pemberi keputusan lagi Maha Mengetahui	34	26
Yang Maha Perkasa lagi Maha Bijaksana	34	27
Yang Maha Perkasa lagi Maha Bijaksana	35	2
Sa\u2018ir	35	6
Allahlah	35	9
Yang Maha Teliti	35	14
Yang Maha Kaya lagi Maha Terpuji	35	15
surga \u2018Adn	35	33
Y\u0101 S\u012bn	36	1
Yang Maha Perkasa lagi Maha Penyayang	36	5
Tuhan Yang Maha Pengasih	36	11
Yang Maha Pengasih	36	15
Yang Maha Pengasih	36	23
Yang Maha Perkasa lagi Maha Mengetahui	36	38
hari Kebangkitan	36	48
Yang Maha Pengasih	36	52
Tuhan Yang Maha Penyayang	36	58
hari Pembalasan	37	20
hari Kebangkitan	37	52
zaqum	37	62
zaqum	37	67
kaum Quraisy	37	71
Ba\u2018l	37	125
hari Kebangkitan	37	144
Tuhanmu Yang Maha Perkasa lagi Maha Pemberi	38	9
kaum Nuh	38	12
kaum Lut	38	13
penduduk Aikah	38	13
hari Perhitungan	38	16
hari Perhitungan	38	26
Yang Maha Pemberi	38	35
Ilyasa	38	48
Zulkifli	38	48
surga \u2018Adn	38	50
hari Perhitungan	38	53
Yang Maha Esa lagi Maha Mengalahkan	38	65
Yang Maha Perkasa lagi Maha Pengampun	38	66
(Allah	38	77
hari Pembalasan	38	78
(Allah	38	84
Yang Maha Perkasa lagi Maha Bijaksana	39	1
Yang Maha Esa lagi Maha Mengalahkan	39	4
Yang Maha Perkasa lagi Maha Pengampun	39	5
Bumi	39	10
agama Islam	39	22
Bumi	39	69
Yang Maha Perkasa lagi Maha Mengetahui	40	2
kaum Nuh	40	5
surga \u2018Adn	40	8
Yang Maha Perkasa lagi Maha Bijaksana	40	8
Yang Maha Tinggi lagi Maha Besar	40	12
Yang Maha Tinggi derajat-Nya	40	15
hari pertemuan	40	15
Yang Maha Esa lagi Maha Mengalahkan	40	16
Yang Maha Mendengar lagi Maha Melihat	40	20
Haman	40	24
Qarun	40	24
hari Perhitungan	40	27
keluarga Fir\u2018aun	40	28
kaum Nuh	40	31
\u2018Allah	40	34
Haman	40	36
Yang Maha Perkasa lagi Maha Pengampun	40	42
kaumnya	40	45
Allahlah	40	61
Allahlah	40	64
Allahlah	40	79
Tuhan Yang Maha Pengasih lagi Maha Penyayang	41	2
Yang Maha Perkasa lagi Maha Mengetahui	41	12
Tuhan Yang Maha Bijaksana lagi Maha Terpuji	41	42
Arab	41	44
Arab	41	44
Arab	41	44
Yang Maha Perkasa lagi Maha Bijaksana	42	3
Yang Maha Tinggi lagi Maha Agung	42	4
Ummul Qurā	42	7
musyrik Quraisy	43	8
Yang Maha Perkasa lagi Maha Mengetahui	43	9
Yang Maha Pengasih	43	17
Yang Maha Pengasih	43	19
Yang Maha Pengasih	43	20
Taif	43	31
Yang Maha Pengasih	43	33
Yang Maha Pengasih	43	36
Kerajaan Mesir	43	51
putra Maryam	43	57
suku Quraisy	43	57
Malik	43	77
Tuhan Yang Maha Pengasih	43	81
Lailatulqadar	44	3
kaum Fir\u2018aun	44	17
kaum Tubba\u2018	44	37
hari keputusan	44	40
Yang Maha Perkasa lagi Maha Penyayang	44	42
Zaqum	44	45
malaikat Zabaniyah	44	47
Arab	44	58
Yang Maha Perkasa lagi Maha Bijaksana	45	2
Allahlah	45	12
Yang Maha Perkasa lagi Maha Bijaksana	45	37
Yang Maha Perkasa lagi Maha Bijaksana	46	2
Kitab Musa	46	12
Arab	46	12
Ahqaf	46	21
kaum \u2018Ad	46	25
kafir Makkah	46	26
Yang Maha Kaya	47	38
Orang-orang Arab Badui	48	11
Hudaibiah	48	11
Sa\u2018ir	48	13
(Allah	48	21
Nabi Muhammad	48	29
Rasulullah	49	3
Rasulullah	49	7
Orang-orang Arab Badui	49	14
kaum Nuh	50	12
penduduk Rass	50	12
kaum Lut	50	13
Aikah	50	14
kaum Tubba\u2018	50	14
Zat Yang Maha Pengasih	50	33
Padang Mahsyar	50	44
hari Pembalasan	51	12
Hari Pembalasan	51	13
kaum Lut	51	32
kaum Lut	51	35
kaum Nuh	51	46
Bumi	51	48
Yang Maha Luas kebajikan-Nya lagi Maha Penyayang”	52	28
kaum musyrik Makkah	53	12
Sidratulmuntaha	53	14
Sidratulmuntaha	53	16
al-Lata	53	19
al-\u2018Uzza	53	19
Manata	53	20
bintang	53	49
Syi\u2018ra	53	49
kaum Nuh	53	52
kaum Lut	53	53
Hari Kiamat	53	57
Pembalasan	54	6
kaum Nuh	54	9
Kaum Lut	54	33
pengikut Lut	54	34
Yang Maha Perkasa lagi Maha Kuasa	54	42
kaum Quraisy	54	43
Hari Kiamat	54	46
Sa\u2018ir	54	47
Saqar	54	48
Lauhulmahfuz	54	53
Tuhan Yang Maha Kuasa	54	55
Yang Maha Pengasih	55	1
Matahari	55	5
Bumi	55	10
delima	55	68
zaqum	56	54
hari Pembalasan	56	56
hari Kebangkitan	56	57
Yang Maha Agung	56	74
Yang Maha Agung	56	96
Yang Maha Perkasa lagi Maha Bijaksana	57	1
Yang Maha Kaya lagi Maha Terpuji	57	24
Yang Maha Perkasa lagi Maha Bijaksana	59	1
Yahudi Bani Nadir	59	2
Yahudi Bani Nadir	59	5
Ansar	59	9
Madinah	59	9
Muhajirin	59	9
Muhajirin	59	9
Muhajirin	59	9
Muhajirin	59	10
Ansar	59	10
Yang Maha Penyantun lagi Maha Penyayang	59	10
Kaum Yahudi	59	15
kaum Yahudi	59	16
Yang Maha Pencipta	59	24
Yang Mewujudkan dari tiada	59	24
Yang Membentuk rupa	59	24
Yang Maha Perkasa lagi Maha Bijaksana	59	24
Yang Maha Perkasa lagi Maha Bijaksana	60	5
hari Kemudian	60	6
Yang Maha Kaya lagi Maha Terpuji	60	6
Yang Maha Perkasa lagi Maha Bijaksana	61	1
Ahmad	61	6
Yang Maha Raja, Maha Suci, Maha Perkasa, lagi Maha Bijaksana	62	1
(Allah	62	3
Yang Maha Perkasa lagi Maha Bijaksana	62	3
Yang Maha Mengetahui yang gaib dan yang nyata	62	8
hari Jumat	62	9
Jumat	62	10
Rasulullah	63	5
kaum Ansar	63	7
Muhajirin	63	7
Rasulullah	63	7
Rasulullah	63	7
Madinah	63	8
perang Bani Mustaliq	63	8
Yang Maha Perkasa lagi Maha Bijaksana	64	18
hari akhir	65	2
Allahlah	65	12
Hafsah	66	3
Aisyah	66	3
Hafsah	66	3
Hafsah	66	3
Yang Maha Mengetahui lagi Maha Teliti	66	3
istri Nuh	66	10
istri Lut	66	10
istri Fir\u2018aun	66	11
Tuhan Yang Maha Pengasih	67	3
Sa\u2018ir	67	5
\u2018Allah	67	9
Sa\u2018ir	67	10
Sa\u2018ir	67	11
Yang Maha Pengasih	67	19
Yang Maha Pengasih	67	20
Yang Maha Pengasih	67	29
Al-\u1e24\u0101qqah	69	1
al-\u1e24\u0101qqah	69	2
al-\u1e24\u0101qqah	69	3
al-Q\u0101ri\u2018ah	69	4
kaum (\u2018Ad)	69	7
Fir\u2018aun	69	9
Yang Maha Agung	69	33
Yang Maha Agung	69	52
R\u016b\u1e25	70	4
hari Pembalasan	70	26
Wadd	71	23
Suw\u0101\u2018	71	23
Yag\u016b\u1e61	71	23
Ya\u2018\u016bq	71	23
Nasr	71	23
agama Islam	72	16
(Allah	73	9
Saqar	74	26
Saqar	74	27
(Neraka Saqar	74	28
Neraka Saqar	74	29
neraka Saqar	74	35
Saqar	74	42
hari Pembalasan	74	46
Sa\u2018ir	76	4
Keputusan	77	13
hari Keputusan	77	14
hari Keputusan	77	38
hari Kebangkitan	78	2
hari Keputusan	78	17
Yang Maha Pengasih	78	37
Tuhan Yang Maha Pengasih	78	38
Lembah Tuwa	79	16
Abdullah bin Ummi Maktum	80	2
Yang Maha Mulia	82	6
hari Pembalasan	82	9
hari Pembalasan	82	15
hari Pembalasan	82	17
hari Pembalasan	82	18
Sijj\u012bn	83	7
Sijj\u012bn	83	8
hari Pembalasan	83	11
\u2018Illiyy\u012bn	83	18
\u2018Illiyy\u012bn	83	19
Sa\u2018ir	84	12
Yang Maha Perkasa lagi Maha Terpuji	85	8
Yang Maha Pengampun lagi Maha Pengasih	85	14
Lauhulmahfuz	85	22
Yang Maha Tinggi	87	1
al-G\u0101syiyah	88	1
penduduk Iram	89	7
kaum \u2018Ad	89	7
duha	91	1
Kaum Samud	91	11
Yang Maha Tinggi	92	20
tin	95	1
zaitun	95	1
gunung Sinai	95	2
hari Pembalasan	95	7
Zabaniah	96	18
Lailatulqadar	97	1
Lailatulqadar	97	2
Lailatulqadar	97	3
Al-Q\u0101ri\u2018ah	101	1
al-Q\u0101ri\u2018ah	101	2
al-Q\u0101ri\u2018ah	101	3
Hawiyah	101	9
